#,"Date Time, GMT-05:00","Full Range, ?S/cm (LGR S/N: 20636127, SEN S/N: 20636127)","Temp, °C "
1,7/12/2019 12:45,7.7,12.42
2,7/12/2019 12:46,7.7,12.47
3,7/12/2019 12:47,7.7,12.53
4,7/12/2019 12:48,8.1,12.53
5,7/12/2019 12:49,8.1,12.54
6,7/12/2019 12:50,7.7,12.57
7,7/12/2019 12:51,8.1,12.61
8,7/12/2019 12:52,7.7,12.61
9,7/12/2019 12:53,8.1,12.63
10,7/12/2019 12:54,8.1,12.66
11,7/12/2019 12:55,7.7,12.67
12,7/12/2019 12:56,7.7,12.68
13,7/12/2019 12:57,8.1,12.67
14,7/12/2019 12:58,8.1,12.67
15,7/12/2019 12:59,8.1,12.66
16,7/12/2019 13:00,7.7,12.66
17,7/12/2019 13:01,8.1,12.65
18,7/12/2019 13:02,8.1,12.65
19,7/12/2019 13:03,8.1,12.63
20,7/12/2019 13:04,8.1,12.65
21,7/12/2019 13:05,8.1,12.65
22,7/12/2019 13:06,8.1,12.65
23,7/12/2019 13:07,8.5,12.67
24,7/12/2019 13:08,8.5,12.68
25,7/12/2019 13:09,8.5,12.68
26,7/12/2019 13:10,8.1,12.68
27,7/12/2019 13:11,8.5,12.7
28,7/12/2019 13:12,8.5,12.71
29,7/12/2019 13:13,8.1,12.72
30,7/12/2019 13:14,8.5,12.72
31,7/12/2019 13:15,8.5,12.75
32,7/12/2019 13:16,8.5,12.74
33,7/12/2019 13:17,8.1,12.74
34,7/12/2019 13:18,8.5,12.75
35,7/12/2019 13:19,8.5,12.75
36,7/12/2019 13:20,8.5,12.75
37,7/12/2019 13:21,8.1,12.76
38,7/12/2019 13:22,8.1,12.78
39,7/12/2019 13:23,8.5,12.76
40,7/12/2019 13:24,8.1,12.76
41,7/12/2019 13:25,8.1,12.76
42,7/12/2019 13:26,8.1,12.76
43,7/12/2019 13:27,8.5,12.75
44,7/12/2019 13:28,8.1,12.75
45,7/12/2019 13:29,7.7,12.74
46,7/12/2019 13:30,8.1,12.74
47,7/12/2019 13:31,8.1,12.74
48,7/12/2019 13:32,8.1,12.75
49,7/12/2019 13:33,8.1,12.74
50,7/12/2019 13:34,8.1,12.76
51,7/12/2019 13:35,8.1,12.78
52,7/12/2019 13:36,8.1,12.82
53,7/12/2019 13:37,8.1,12.84
54,7/12/2019 13:38,8.1,12.86
55,7/12/2019 13:39,8.5,12.9
56,7/12/2019 13:40,8.1,12.93
57,7/12/2019 13:41,8.1,12.95
58,7/12/2019 13:42,8.5,12.97
59,7/12/2019 13:43,8.5,13
60,7/12/2019 13:44,8.1,13.01
61,7/12/2019 13:45,8.1,13.03
62,7/12/2019 13:46,8.5,13.04
63,7/12/2019 13:47,8.1,13.05
64,7/12/2019 13:48,8.1,13.07
65,7/12/2019 13:49,8.1,13.09
66,7/12/2019 13:50,8.1,13.09
67,7/12/2019 13:51,8.1,13.12
68,7/12/2019 13:52,8.1,13.15
69,7/12/2019 13:53,15.9,13.18
70,7/12/2019 13:54,156.3,13.2
71,7/12/2019 13:55,326,13.21
72,7/12/2019 13:56,246.6,13.24
73,7/12/2019 13:57,158.6,13.25
74,7/12/2019 13:58,101.4,13.26
75,7/12/2019 13:59,56.7,13.29
76,7/12/2019 14:00,35.4,13.29
77,7/12/2019 14:01,26.8,13.3
78,7/12/2019 14:02,20.8,13.32
79,7/12/2019 14:03,15.6,13.33
80,7/12/2019 14:04,12.6,13.33
81,7/12/2019 14:05,10.7,13.33
82,7/12/2019 14:06,10.3,13.36
83,7/12/2019 14:07,9.9,13.37
84,7/12/2019 14:08,9.2,13.38
85,7/12/2019 14:09,9.2,13.39
86,7/12/2019 14:10,8.8,13.39
87,7/12/2019 14:11,8.8,13.38
88,7/12/2019 14:12,8.8,13.38
89,7/12/2019 14:13,8.8,13.39
90,7/12/2019 14:14,8.5,13.38
91,7/12/2019 14:15,8.5,13.38
92,7/12/2019 14:16,8.5,13.37
93,7/12/2019 14:17,8.5,13.36
94,7/12/2019 14:18,8.8,13.34
95,7/12/2019 14:19,8.8,13.33
96,7/12/2019 14:20,8.8,13.34
97,7/12/2019 14:21,8.5,13.36
98,7/12/2019 14:22,8.5,13.36
99,7/12/2019 14:23,8.5,13.36
100,7/12/2019 14:24,8.5,13.37
101,7/12/2019 14:25,8.8,13.38
102,7/12/2019 14:26,8.5,13.39
103,7/12/2019 14:27,8.5,13.41
104,7/12/2019 14:28,8.5,13.41
105,7/12/2019 14:29,8.5,13.42
106,7/12/2019 14:30,8.5,13.42
107,7/12/2019 14:31,8.5,13.42
108,7/12/2019 14:32,8.5,13.41
109,7/12/2019 14:33,8.5,13.41
110,7/12/2019 14:34,8.5,13.39
111,7/12/2019 14:35,8.8,13.39
112,7/12/2019 14:36,8.5,13.41
113,7/12/2019 14:37,8.5,13.41
114,7/12/2019 14:38,8.5,13.42
115,7/12/2019 14:39,8.5,13.43
116,7/12/2019 14:40,8.8,13.45
117,7/12/2019 14:41,8.5,13.45
118,7/12/2019 14:42,8.5,13.46
119,7/12/2019 14:43,8.5,13.49
120,7/12/2019 14:44,8.5,13.49
121,7/12/2019 14:45,8.5,13.51
122,7/12/2019 14:46,8.8,13.53
123,7/12/2019 14:47,8.1,13.57
124,7/12/2019 14:48,8.5,13.57
125,7/12/2019 14:49,8.1,13.59
126,7/12/2019 14:50,8.5,13.61
127,7/12/2019 14:51,8.5,13.62
128,7/12/2019 14:52,8.4,13.64
129,7/12/2019 14:53,8.4,13.66
130,7/12/2019 14:54,8.8,13.7
131,7/12/2019 14:55,8.4,13.74
132,7/12/2019 14:56,8.4,13.76
133,7/12/2019 14:57,8.4,13.82
134,7/12/2019 14:58,8.4,13.84
135,7/12/2019 14:59,8.4,13.88
136,7/12/2019 15:00,8.4,13.89
137,7/12/2019 15:01,8.4,13.91
138,7/12/2019 15:02,8.8,13.92
139,7/12/2019 15:03,8.8,13.93
140,7/12/2019 15:04,8.4,13.96
141,7/12/2019 15:05,8.4,13.99
142,7/12/2019 15:06,8.4,14
143,7/12/2019 15:07,8.4,14
144,7/12/2019 15:08,8.4,14
145,7/12/2019 15:09,8.4,14
146,7/12/2019 15:10,8.4,14
147,7/12/2019 15:11,8.4,13.96
148,7/12/2019 15:12,8.4,13.96
149,7/12/2019 15:13,8.1,13.95
150,7/12/2019 15:14,8.4,13.92
151,7/12/2019 15:15,8.8,13.91
152,7/12/2019 15:16,8.4,13.89
153,7/12/2019 15:17,8.4,13.88
154,7/12/2019 15:18,8.8,13.87
155,7/12/2019 15:19,8.8,13.83
156,7/12/2019 15:20,8.4,13.83
157,7/12/2019 15:21,8.8,13.83
158,7/12/2019 15:22,8.8,13.84
159,7/12/2019 15:23,8.4,13.83
160,7/12/2019 15:24,8.8,13.83
161,7/12/2019 15:25,8.8,13.84
162,7/12/2019 15:26,8.8,13.86
163,7/12/2019 15:27,8.8,13.88
164,7/12/2019 15:28,8.4,13.89
165,7/12/2019 15:29,8.4,13.91
166,7/12/2019 15:30,8.4,13.91
167,7/12/2019 15:31,8.4,13.89
168,7/12/2019 15:32,8.4,13.89
169,7/12/2019 15:33,8.4,13.91
170,7/12/2019 15:34,8.4,13.91
171,7/12/2019 15:35,8.8,13.89
172,7/12/2019 15:36,8.4,13.91
173,7/12/2019 15:37,8.8,13.89
174,7/12/2019 15:38,8.8,13.89
175,7/12/2019 15:39,8.4,13.87
176,7/12/2019 15:40,8.4,13.86
177,7/12/2019 15:41,8.4,13.84
178,7/12/2019 15:42,8.8,13.84
179,7/12/2019 15:43,8.8,13.82
180,7/12/2019 15:44,8.4,13.79
181,7/12/2019 15:45,8.8,13.79
182,7/12/2019 15:46,8.8,13.78
183,7/12/2019 15:47,8.8,13.78
184,7/12/2019 15:48,8.8,13.75
185,7/12/2019 15:49,8.4,13.74
186,7/12/2019 15:50,8.4,13.72
187,7/12/2019 15:51,8.8,13.71
188,7/12/2019 15:52,8.8,13.7
189,7/12/2019 15:53,8.8,13.7
190,7/12/2019 15:54,8.8,13.68
191,7/12/2019 15:55,8.4,13.67
192,7/12/2019 15:56,8.8,13.67
193,7/12/2019 15:57,8.8,13.64
194,7/12/2019 15:58,8.8,13.63
195,7/12/2019 15:59,8.5,13.63
196,7/12/2019 16:00,8.8,13.62
197,7/12/2019 16:01,8.8,13.61
198,7/12/2019 16:02,8.5,13.58
199,7/12/2019 16:03,8.5,13.57
200,7/12/2019 16:04,8.8,13.54
201,7/12/2019 16:05,8.8,13.53
202,7/12/2019 16:06,8.8,13.53
203,7/12/2019 16:07,8.5,13.54
204,7/12/2019 16:08,8.8,13.54
205,7/12/2019 16:09,8.8,13.53
206,7/12/2019 16:10,8.5,13.54
207,7/12/2019 16:11,8.1,13.53
208,7/12/2019 16:12,8.8,13.51
209,7/12/2019 16:13,8.5,13.51
210,7/12/2019 16:14,8.5,13.5
211,7/12/2019 16:15,8.8,13.49
212,7/12/2019 16:16,8.8,13.5
213,7/12/2019 16:17,8.8,13.47
214,7/12/2019 16:18,8.8,13.47
215,7/12/2019 16:19,8.5,13.46
216,7/12/2019 16:20,8.8,13.45
217,7/12/2019 16:21,8.8,13.43
218,7/12/2019 16:22,8.8,13.42
219,7/12/2019 16:23,8.8,13.41
220,7/12/2019 16:24,8.1,13.39
221,7/12/2019 16:25,8.8,13.39
222,7/12/2019 16:26,8.8,13.37
223,7/12/2019 16:26,,
224,7/12/2019 16:26,,
225,7/12/2019 16:26,,
