dist.m,transect,Date,CO2_ppm
245.23145,syn1,7/18/2019,250
240.131,syn2,7/18/2019,420
228.22,syn3,7/18/2019,450
225.566,syn4,7/18/2019,460
217.636,syn5,7/18/2019,490
208.216,syn6,7/18/2019,490
204.122,syn7,7/18/2019,450
194.937,syn8,7/18/2019,540
184.107,syn9,7/18/2019,400
178.759,syn10,7/18/2019,360
169.972,syn11,7/18/2019,440
161.976,syn12,7/18/2019,430
154.82,syn13,7/18/2019,410
143.68,syn14,7/18/2019,400
140.638,syn15,7/18/2019,440
131.849,syn16,7/18/2019,370
128.96,syn17,7/18/2019,330
124.229,syn18,7/18/2019,480
107.753,waterfall,7/18/2019,540
102.753,syn19,7/18/2019,970
94.14,syn20,7/18/2019,1160
87.664,syn21,7/18/2019,1270
81.871,syn22,7/18/2019,1310
75.925,syn23,7/18/2019,1620
67.023,syn24,7/18/2019,1750
63.659,syn25,7/18/2019,1810
56.243,syn26,7/18/2019,1880
51.477,syn27,7/18/2019,1950
47.593,syn28,7/18/2019,2100
37.442,syn29,7/18/2019,2090
34.256,syn30,7/18/2019,2280
25.495,syn31,7/18/2019,2070
16.957,syn32,7/18/2019,2030
12.337,syn33,7/18/2019,2000
4.002,syn34,7/18/2019,2050
0,syn35,7/18/2019,2080
245.23145,syn1,7/25/2019,450
240.131,syn2,7/25/2019,440
228.22,syn3,7/25/2019,470
225.566,syn4,7/25/2019,490
217.636,syn5,7/25/2019,510
208.216,syn6,7/25/2019,470
204.122,syn7,7/25/2019,500
194.937,syn8,7/25/2019,530
184.107,syn9,7/25/2019,520
178.759,syn10,7/25/2019,480
169.972,syn11,7/25/2019,510
161.976,syn12,7/25/2019,550
154.82,syn13,7/25/2019,490
143.68,syn14,7/25/2019,540
140.638,syn15,7/25/2019,510
131.849,syn16,7/25/2019,470
128.96,syn17,7/25/2019,430
124.229,syn18,7/25/2019,580
107.753,waterfall,7/25/2019,490
102.753,syn19,7/25/2019,850
94.14,syn20,7/25/2019,990
87.664,syn21,7/25/2019,930
81.871,syn22,7/25/2019,1150
75.925,syn23,7/25/2019,1270
67.023,syn24,7/25/2019,1320
63.659,syn25,7/25/2019,1150
56.243,syn26,7/25/2019,1210
51.477,syn27,7/25/2019,1470
47.593,syn28,7/25/2019,1350
37.442,syn29,7/25/2019,1560
34.256,syn30,7/25/2019,1450
25.495,syn31,7/25/2019,1420
16.957,syn32,7/25/2019,1470
12.337,syn33,7/25/2019,1510
4.002,syn34,7/25/2019,1370
0,syn35,7/25/2019,1480
245.23145,syn1,7/29/2019,510
240.131,syn2,7/29/2019,480
228.22,syn3,7/29/2019,530
225.566,syn4,7/29/2019,530
217.636,syn5,7/29/2019,670
208.216,syn6,7/29/2019,520
204.122,syn7,7/29/2019,540
194.937,syn8,7/29/2019,590
184.107,syn9,7/29/2019,570
178.759,syn10,7/29/2019,490
169.972,syn11,7/29/2019,570
161.976,syn12,7/29/2019,510
154.82,syn13,7/29/2019,490
143.68,syn14,7/29/2019,470
140.638,syn15,7/29/2019,540
131.849,syn16,7/29/2019,380
128.96,syn17,7/29/2019,450
124.229,syn18,7/29/2019,620
107.753,waterfall,7/29/2019,1100
102.753,syn19,7/29/2019,740
94.14,syn20,7/29/2019,1240
87.664,syn21,7/29/2019,1390
81.871,syn22,7/29/2019,1440
75.925,syn23,7/29/2019,1890
67.023,syn24,7/29/2019,2100
63.659,syn25,7/29/2019,2250
56.243,syn26,7/29/2019,2340
51.477,syn27,7/29/2019,2240
47.593,syn28,7/29/2019,2450
37.442,syn29,7/29/2019,2380
34.256,syn30,7/29/2019,2300
245.23145,syn1,7/31/2019,550
240.131,syn2,7/31/2019,550
228.22,syn3,7/31/2019,600
225.566,syn4,7/31/2019,550
217.636,syn5,7/31/2019,580
208.216,syn6,7/31/2019,540
204.122,syn7,7/31/2019,610
194.937,syn8,7/31/2019,510
184.107,syn9,7/31/2019,480
178.759,syn10,7/31/2019,490
169.972,syn11,7/31/2019,540
161.976,syn12,7/31/2019,510
154.82,syn13,7/31/2019,590
143.68,syn14,7/31/2019,540
140.638,syn15,7/31/2019,620
131.849,syn16,7/31/2019,620
128.96,syn17,7/31/2019,650
124.229,syn18,7/31/2019,750
107.753,waterfall,7/31/2019,950
102.753,syn19,7/31/2019,1250
94.14,syn20,7/31/2019,1610
87.664,syn21,7/31/2019,1720
81.871,syn22,7/31/2019,1820
75.925,syn23,7/31/2019,2250
67.023,syn24,7/31/2019,2280
63.659,syn25,7/31/2019,2460
56.243,syn26,7/31/2019,2500
51.477,syn27,7/31/2019,2540
47.593,syn28,7/31/2019,2700
37.442,syn29,7/31/2019,2910
34.256,syn30,7/31/2019,2860
25.495,syn31,7/31/2019,2880
16.957,syn32,7/31/2019,2730
12.337,syn33,7/31/2019,2740
4.002,syn34,7/31/2019,2730
0,syn35,7/31/2019,2750
245.23145,syn1,8/6/2019,430
240.131,syn2,8/6/2019,550
228.22,syn3,8/6/2019,560
225.566,syn4,8/6/2019,650
217.636,syn5,8/6/2019,690
208.216,syn6,8/6/2019,650
204.122,syn7,8/6/2019,620
194.937,syn8,8/6/2019,490
184.107,syn9,8/6/2019,510
178.759,syn10,8/6/2019,530
169.972,syn11,8/6/2019,560
161.976,syn12,8/6/2019,540
154.82,syn13,8/6/2019,560
143.68,syn14,8/6/2019,540
140.638,syn15,8/6/2019,550
131.849,syn16,8/6/2019,620
128.96,syn17,8/6/2019,560
124.229,syn18,8/6/2019,710
107.753,waterfall,8/6/2019,740
102.753,syn19,8/6/2019,1020
94.14,syn20,8/6/2019,1280
87.664,syn21,8/6/2019,1340
81.871,syn22,8/6/2019,1490
75.925,syn23,8/6/2019,1910
67.023,syn24,8/6/2019,1940
63.659,syn25,8/6/2019,2200
56.243,syn26,8/6/2019,2250
51.477,syn27,8/6/2019,2300
47.593,syn28,8/6/2019,2430
37.442,syn29,8/6/2019,2550
34.256,syn30,8/6/2019,2610
25.495,syn31,8/6/2019,2670
16.957,syn32,8/6/2019,2690
12.337,syn33,8/6/2019,2710
4.002,syn34,8/6/2019,2590
0,syn35,8/6/2019,2620
245.23145,syn1,8/12/2019,680
240.131,syn2,8/12/2019,700
228.22,syn3,8/12/2019,740
225.566,syn4,8/12/2019,720
217.636,syn5,8/12/2019,680
208.216,syn6,8/12/2019,740
204.122,syn7,8/12/2019,780
194.937,syn8,8/12/2019,710
184.107,syn9,8/12/2019,620
178.759,syn10,8/12/2019,630
169.972,syn11,8/12/2019,650
161.976,syn12,8/12/2019,650
154.82,syn13,8/12/2019,650
143.68,syn14,8/12/2019,610
140.638,syn15,8/12/2019,680
131.849,syn16,8/12/2019,710
128.96,syn17,8/12/2019,730
124.229,syn18,8/12/2019,840
107.753,waterfall,8/12/2019,1390
102.753,syn19,8/12/2019,1300
94.14,syn20,8/12/2019,1510
87.664,syn21,8/12/2019,1690
81.871,syn22,8/12/2019,1910
75.925,syn23,8/12/2019,2470
67.023,syn24,8/12/2019,2670
63.659,syn25,8/12/2019,2880
56.243,syn26,8/12/2019,3120
51.477,syn27,8/12/2019,3260
47.593,syn28,8/12/2019,3530
37.442,syn29,8/12/2019,3600
34.256,syn30,8/12/2019,3850
25.495,syn31,8/12/2019,3710
16.957,syn32,8/12/2019,3770
12.337,syn33,8/12/2019,3750
4.002,syn34,8/12/2019,3700
0,syn35,8/12/2019,3740
