k600,Vms,Qm3s,slope,depth,width,place,data1,data
6.0788,0.159,0.1111,0.0053,0.15,4.66,Raymond,Raymond et al.,Raymond et al. 2012
6.01576,0.175,0.1127,0.0072,0.1,6.44,Raymond,Raymond et al.,Raymond et al. 2012
6.8435,0.136,0.0987,0.0082,0.11,6.6,Raymond,Raymond et al.,Raymond et al. 2012
4.3434,0.077,0.0388,0.0132,0.12,4.2,Raymond,Raymond et al.,Raymond et al. 2012
3.92686,0.14,0.0924,0.0038,0.22,3,Raymond,Raymond et al.,Raymond et al. 2012
7.17326,0.128,0.0328,0.0114,0.079,3.248,Raymond,Raymond et al.,Raymond et al. 2012
2.30068,0.135,0.1071,0.0042,0.2,3.968,Raymond,Raymond et al.,Raymond et al. 2012
2.46637,0.107,0.171,0.00619,0.17,9.4,Raymond,Raymond et al.,Raymond et al. 2012
4.76531,0.135,0.014,0.0102,0.08,1.292,Raymond,Raymond et al.,Raymond et al. 2012
4.125,0.13,0.2088,0.004,0.21,7.649,Raymond,Raymond et al.,Raymond et al. 2012
3.09339,0.071,0.0675,0.00779,0.19,5,Raymond,Raymond et al.,Raymond et al. 2012
6.0235,0.115,0.0923,0.00825,0.11,7.3,Raymond,Raymond et al.,Raymond et al. 2012
6.82449,0.14,0.1058,0.0053,0.14,5.4,Raymond,Raymond et al.,Raymond et al. 2012
1.00781,0.118,0.0344,0.0058,0.15,1.946,Raymond,Raymond et al.,Raymond et al. 2012
4.19447,0.061,0.0154,0.0208,0.08,3.149,Raymond,Raymond et al.,Raymond et al. 2012
7.87354,0.061,0.0154,0.0208,0.08,3.16,Raymond,Raymond et al.,Raymond et al. 2012
1.8809,0.1,0.4266,0.00562,0.18,23.7,Raymond,Raymond et al.,Raymond et al. 2012
1.00165,0.183,0.8696,0.00223,0.24,19.8,Raymond,Raymond et al.,Raymond et al. 2012
4.62526,0.051,0.0105,0.0088,0.21,0.983,Raymond,Raymond et al.,Raymond et al. 2012
4.96089,0.169,0.3755,0.00251,0.22,10.1,Raymond,Raymond et al.,Raymond et al. 2012
1.40393,0.113,0.0299,0.0058,0.14,1.891,Raymond,Raymond et al.,Raymond et al. 2012
4.48428,0.2,0.1229,0.0065,0.07,8.775,Raymond,Raymond et al.,Raymond et al. 2012
5.09649,0.045,0.0145,0.0126,0.16,2.012,Raymond,Raymond et al.,Raymond et al. 2012
2.90815,0.044,0.0413,0.009,0.22,4.263,Raymond,Raymond et al.,Raymond et al. 2012
3.02768,0.098,0.2352,0.0036,0.24,10,Raymond,Raymond et al.,Raymond et al. 2012
3.98844,0.11,0.1434,0.004,0.19,6.862,Raymond,Raymond et al.,Raymond et al. 2012
4.35475,0.098,0.0768,0.0053,0.16,4.9,Raymond,Raymond et al.,Raymond et al. 2012
5.08022,0.08,0.0049,0.0147,0.07,0.877,Raymond,Raymond et al.,Raymond et al. 2012
5.11399,0.092,0.0533,0.0064,0.139,4.171,Raymond,Raymond et al.,Raymond et al. 2012
6.5834,0.134,0.06,0.0038,0.16,2.8,Raymond,Raymond et al.,Raymond et al. 2012
2.77064,0.09,0.0792,0.00557,0.16,5.5,Raymond,Raymond et al.,Raymond et al. 2012
5.78635,0.078,0.0524,0.0064,0.16,4.2,Raymond,Raymond et al.,Raymond et al. 2012
3.10939,0.07,0.0097,0.0102,0.11,1.254,Raymond,Raymond et al.,Raymond et al. 2012
4.17847,0.111,0.0558,0.0038,0.181,2.777,Raymond,Raymond et al.,Raymond et al. 2012
3.38371,0.079,0.2299,0.00638,0.15,19.4,Raymond,Raymond et al.,Raymond et al. 2012
13.2303,0.046,0.006,0.0133,0.12,1.084,Raymond,Raymond et al.,Raymond et al. 2012
1.77681,0.192,0.0523,0.0075,0.05,5.451,Raymond,Raymond et al.,Raymond et al. 2012
13.07802,0.06,0.0049,0.03,0.04,2.043,Raymond,Raymond et al.,Raymond et al. 2012
5.85815,0.121,0.0704,0.0053,0.11,5.292,Raymond,Raymond et al.,Raymond et al. 2012
3.70401,0.119,0.0823,0.0065,0.09,7.685,Raymond,Raymond et al.,Raymond et al. 2012
5.67718,0.115,0.0455,0.0053,0.11,3.6,Raymond,Raymond et al.,Raymond et al. 2012
2.73172,0.1,0.007,0.0133,0.05,1.396,Raymond,Raymond et al.,Raymond et al. 2012
4.37931,0.075,0.0202,0.0114,0.077,3.496,Raymond,Raymond et al.,Raymond et al. 2012
7.72424,0.116,0.0195,0.0047,0.12,1.4,Raymond,Raymond et al.,Raymond et al. 2012
4.54936,0.04,0.0273,0.009,0.18,3.791,Raymond,Raymond et al.,Raymond et al. 2012
4.73087,0.106,0.0443,0.0053,0.11,3.8,Raymond,Raymond et al.,Raymond et al. 2012
2.90782,0.144,0.0399,0.0038,0.11,2.52,Raymond,Raymond et al.,Raymond et al. 2012
5.1913,0.098,0.034,0.0051,0.12,2.891,Raymond,Raymond et al.,Raymond et al. 2012
8.87066,0.087,0.0118,0.0086,0.08,1.7,Raymond,Raymond et al.,Raymond et al. 2012
4.76767,0.085,0.0475,0.0053,0.13,4.3,Raymond,Raymond et al.,Raymond et al. 2012
5.11294,0.064,0.0164,0.0114,0.08,3.2,Raymond,Raymond et al.,Raymond et al. 2012
4.36347,0.097,0.0482,0.0053,0.112,4.433,Raymond,Raymond et al.,Raymond et al. 2012
13.7079,0.064,0.0031,0.0147,0.06,0.801,Raymond,Raymond et al.,Raymond et al. 2012
5.56911,0.059,0.0177,0.0095,0.1,2.994,Raymond,Raymond et al.,Raymond et al. 2012
2.3531,0.053,0.035,0.00951,0.11,6,Raymond,Raymond et al.,Raymond et al. 2012
2.05047,0.067,0.1001,0.00454,0.18,8.3,Raymond,Raymond et al.,Raymond et al. 2012
8.70559,0.032,0.006,0.0208,0.08,2.326,Raymond,Raymond et al.,Raymond et al. 2012
6.04711,0.037,0.0128,0.0095,0.15,2.302,Raymond,Raymond et al.,Raymond et al. 2012
4.10517,0.035,0.0045,0.03,0.05,2.544,Raymond,Raymond et al.,Raymond et al. 2012
5.54638,0.053,0.0149,0.0047,0.21,1.341,Raymond,Raymond et al.,Raymond et al. 2012
3.17138,0.106,0.0466,0.0053,0.09,4.88,Raymond,Raymond et al.,Raymond et al. 2012
2.13461,0.073,0.0453,0.0053,0.13,4.77,Raymond,Raymond et al.,Raymond et al. 2012
3.48511,0.067,0.0111,0.0125,0.06,2.768,Raymond,Raymond et al.,Raymond et al. 2012
3.31908,0.093,0.0397,0.0072,0.07,6.097,Raymond,Raymond et al.,Raymond et al. 2012
2.81538,0.045,0.0045,0.0102,0.09,1.101,Raymond,Raymond et al.,Raymond et al. 2012
2.74757,0.07,0.0353,0.0072,0.08,6.3,Raymond,Raymond et al.,Raymond et al. 2012
3.00779,0.067,0.0179,0.0051,0.11,2.427,Raymond,Raymond et al.,Raymond et al. 2012
2.40046,0.09,0.017,0.0051,0.07,2.7,Raymond,Raymond et al.,Raymond et al. 2012
2.68362,0.035,0.0071,0.0125,0.07,2.914,Raymond,Raymond et al.,Raymond et al. 2012
3.71389,0.024,0.012,0.009,0.14,3.581,Raymond,Raymond et al.,Raymond et al. 2012
3.0206,0.033,0.0049,0.0125,0.06,2.462,Raymond,Raymond et al.,Raymond et al. 2012
5.05871,0.039,0.0106,0.0051,0.11,2.465,Raymond,Raymond et al.,Raymond et al. 2012
1.30856,0.022,0.0049,0.0095,0.07,3.193,Raymond,Raymond et al.,Raymond et al. 2012
0.95856,0.022,0.0049,0.0095,0.07,3.169,Raymond,Raymond et al.,Raymond et al. 2012
0.96301,0.039,0.0197,0.0029,0.09,5.6,Raymond,Raymond et al.,Raymond et al. 2012
62.7452,0.076,1.05842,0.17,0.143,,Raymond,Raymond et al.,Raymond et al. 2012
30.59285,0.099,1.70932,0.09,0.114,,Raymond,Raymond et al.,Raymond et al. 2012
19.73707,0.057,0.08773,0.17,0.067,,Raymond,Raymond et al.,Raymond et al. 2012
15.49521,0.049,0.48676,0.08,0.121,,Raymond,Raymond et al.,Raymond et al. 2012
11.88718,0.036,0.19952,0.17,0.075,,Raymond,Raymond et al.,Raymond et al. 2012
11.62886,0.022,0.06509,0.13,0.13,,Raymond,Raymond et al.,Raymond et al. 2012
8.64332,0.077,0.37356,0.035,0.057,,Raymond,Raymond et al.,Raymond et al. 2012
8.2314,0.068,0.27734,0.035,0.048,,Raymond,Raymond et al.,Raymond et al. 2012
4.79479,0.24,5.6034,0.0025,0.19,,Raymond,Raymond et al.,Raymond et al. 2012
5.22672,0.043,0.29432,0.025,0.102,,Raymond,Raymond et al.,Raymond et al. 2012
7.37821,0.058,0.22074,0.035,0.045,,Raymond,Raymond et al.,Raymond et al. 2012
5.35772,0.138,0.8773,0.003,0.039,,Raymond,Raymond et al.,Raymond et al. 2012
26.8,0.23024,2.25936,0.06,0.14857,2.334,Raymond,Raymond et al.,Raymond et al. 2012
26.5,0.49167,5.36011,0.015,0.20382,1.89,Raymond,Raymond et al.,Raymond et al. 2012
24,0.06073,3.16717,0.02478,0.9402,1.96,Raymond,Raymond et al.,Raymond et al. 2012
7.7,0.04269,0.3457,0.19,0.12074,2.37,Raymond,Raymond et al.,Raymond et al. 2012
16.7,0.11765,1.3951,0.036,0.18557,2.258,Raymond,Raymond et al.,Raymond et al. 2012
11,0.11111,0.54778,0.134,0.04658,3.74,Raymond,Raymond et al.,Raymond et al. 2012
15.3,0.13889,1.27439,0.021,0.21054,1.54,Raymond,Raymond et al.,Raymond et al. 2012
12.9,0.26683,7.58014,0.014,0.15248,6.5831,Raymond,Raymond et al.,Raymond et al. 2012
10.2,0.06159,0.56486,0.03171,0.27462,1.18,Raymond,Raymond et al.,Raymond et al. 2012
4.1,0.07667,3.20926,0.02372,0.25156,5.88,Raymond,Raymond et al.,Raymond et al. 2012
10.5,0.22593,1.46532,0.013,0.11875,1.93,Raymond,Raymond et al.,Raymond et al. 2012
2.6,0.19599,1.49049,0.011,0.15901,1.69,Raymond,Raymond et al.,Raymond et al. 2012
4.8,0.11111,0.74492,0.03214,0.09476,2.5,Raymond,Raymond et al.,Raymond et al. 2012
2,0.26458,0.64938,0.0171,0.0723,1.1996,Raymond,Raymond et al.,Raymond et al. 2012
8.4,0.06755,1.40002,0.01571,0.26825,2.73,Raymond,Raymond et al.,Raymond et al. 2012
1.8,0.01852,0.14602,0.14167,0.10169,2.74,Raymond,Raymond et al.,Raymond et al. 2012
4.1,0.04087,3.4002,0.00564,1.12215,2.62,Raymond,Raymond et al.,Raymond et al. 2012
6.1,0.23917,3.11437,0.006,0.17927,2.56667,Raymond,Raymond et al.,Raymond et al. 2012
3.3,0.02278,0.65787,0.02439,0.41486,2.46,Raymond,Raymond et al.,Raymond et al. 2012
6.4,0.26,1.82539,0.01,0.08689,2.85526,Raymond,Raymond et al.,Raymond et al. 2012
4.5,0.19445,1.5761,0.019,0.06062,4.725,Raymond,Raymond et al.,Raymond et al. 2012
5.5,0.14733,2.91315,0.00435,0.31261,2.235,Raymond,Raymond et al.,Raymond et al. 2012
8.7,0.08333,0.37942,0.0347,0.06679,2.409,Raymond,Raymond et al.,Raymond et al. 2012
5.9,0.2,0.34943,0.01538,0.06072,1.01667,Raymond,Raymond et al.,Raymond et al. 2012
3.9,0.02011,0.7061,0.026,0.35139,3.53,Raymond,Raymond et al.,Raymond et al. 2012
2.2,0.1932,2.81256,0.0054,0.16056,3.204,Raymond,Raymond et al.,Raymond et al. 2012
3.2,0.04505,0.56879,0.02606,0.13729,3.25,Raymond,Raymond et al.,Raymond et al. 2012
4.6,0.15433,4.35384,0.0048,0.2054,4.574,Raymond,Raymond et al.,Raymond et al. 2012
2.2,0.22576,0.60221,0.02174,0.02564,3.67614,Raymond,Raymond et al.,Raymond et al. 2012
5.6,0.1522,0.81024,0.008,0.10224,1.84,Raymond,Raymond et al.,Raymond et al. 2012
5.3,0.14383,0.9905,0.005,0.17206,1.41429,Raymond,Raymond et al.,Raymond et al. 2012
4,0.06667,0.34415,0.015,0.11845,1.54,Raymond,Raymond et al.,Raymond et al. 2012
6,0.17,4.48455,0.004,0.16304,5.71727,Raymond,Raymond et al.,Raymond et al. 2012
1.8,0.02315,0.13228,0.04,0.11214,1.80067,Raymond,Raymond et al.,Raymond et al. 2012
2.2,0.13333,0.33734,0.025,0.02912,3.07,Raymond,Raymond et al.,Raymond et al. 2012
1.6,0.04657,0.21319,0.02522,0.07703,2.1,Raymond,Raymond et al.,Raymond et al. 2012
8,0.16,3.70905,0.003,0.15875,5.16,Raymond,Raymond et al.,Raymond et al. 2012
0.3,0.01917,0.1233,0.03781,0.09472,2.4,Raymond,Raymond et al.,Raymond et al. 2012
3.1,0.12333,0.11431,0.03297,0.01633,2.005,Raymond,Raymond et al.,Raymond et al. 2012
1.4,0.04667,0.15377,0.0187,0.07323,1.59,Raymond,Raymond et al.,Raymond et al. 2012
3.8,0.0687,0.32093,0.00679,0.09455,1.746,Raymond,Raymond et al.,Raymond et al. 2012
6.4,0.1165,0.33079,0.004,0.08612,1.165,Raymond,Raymond et al.,Raymond et al. 2012
3.9,0.11217,0.13728,0.008,0.04042,1.07,Raymond,Raymond et al.,Raymond et al. 2012
1.5,0.05556,0.98153,0.00332,0.18827,3.316,Raymond,Raymond et al.,Raymond et al. 2012
2.2,0.01717,0.5086,0.00688,0.25452,4.11167,Raymond,Raymond et al.,Raymond et al. 2012
1.4,0.02586,0.03679,0.0274,0.04189,1.2,Raymond,Raymond et al.,Raymond et al. 2012
0.7,0.01127,0.15692,0.01306,0.18566,2.65,Raymond,Raymond et al.,Raymond et al. 2012
1.1,0.01254,0.13963,0.012,0.14793,2.66,Raymond,Raymond et al.,Raymond et al. 2012
3.7,0.10667,0.16311,0.01331,0.0146,3.7,Raymond,Raymond et al.,Raymond et al. 2012
0.6,0.01045,0.13628,0.01022,0.18361,2.51,Raymond,Raymond et al.,Raymond et al. 2012
1.6,0.04692,0.26851,0.005,0.08317,2.43125,Raymond,Raymond et al.,Raymond et al. 2012
1.5,0.05747,0.70712,0.00482,0.06743,6.448,Raymond,Raymond et al.,Raymond et al. 2012
0.9,0.00636,0.1589,0.01286,0.22624,3.9,Raymond,Raymond et al.,Raymond et al. 2012
3.3,0.16763,3.11589,0.00052,0.205,3.204,Raymond,Raymond et al.,Raymond et al. 2012
4.6,0.026,1.49231,0.00158,0.42253,4.8,Raymond,Raymond et al.,Raymond et al. 2012
0.2,0.01429,0.08204,0.01507,0.07927,2.56,Raymond,Raymond et al.,Raymond et al. 2012
2.4,0.03667,0.06764,0.00699,0.05718,1.14,Raymond,Raymond et al.,Raymond et al. 2012
0.6,0.01826,0.01848,0.01143,0.06502,0.55,Raymond,Raymond et al.,Raymond et al. 2012
1.7,0.01427,0.05812,0.00811,0.10737,1.34,Raymond,Raymond et al.,Raymond et al. 2012
0.8,0.04703,0.66582,0.0014,0.17193,2.91,Raymond,Raymond et al.,Raymond et al. 2012
0.9,0.01515,0.04394,0.0141,0.04879,2.1,Raymond,Raymond et al.,Raymond et al. 2012
7.5,0.17544,0.1698,0.001,0.03638,0.94,Raymond,Raymond et al.,Raymond et al. 2012
0.7,0.07117,0.04705,0.004,0.01995,1.17091,Raymond,Raymond et al.,Raymond et al. 2012
0.1,0.01852,0.00678,0.0175,0.01667,0.776,Raymond,Raymond et al.,Raymond et al. 2012
2.6,0.03333,0.50434,0.00125,0.12096,4.42,Raymond,Raymond et al.,Raymond et al. 2012
1.1,0.01753,0.05609,0.00429,0.04488,2.52,Raymond,Raymond et al.,Raymond et al. 2012
1,0.02269,0.06975,0.00092,0.08354,1.3,Raymond,Raymond et al.,Raymond et al. 2012
20.62893,0.9845,13.8104,0.00526,0.46515,324.80315,Raymond,Raymond et al.,Raymond et al. 2012
13.5627,1.21006,14.15,0.004,0.47392,265.74803,Raymond,Raymond et al.,Raymond et al. 2012
8.74719,0.86563,14.15,0.00359,0.57701,305.11811,Raymond,Raymond et al.,Raymond et al. 2012
23.10385,0.39671,0.5094,0.01795,0.2105,65.69882,Raymond,Raymond et al.,Raymond et al. 2012
24.31224,0.37207,0.3962,0.01795,0.15889,72.17848,Raymond,Raymond et al.,Raymond et al. 2012
7.01028,0.41638,8.36265,0.0096,0.22125,977.69029,Raymond,Raymond et al.,Raymond et al. 2012
5.91125,0.72847,16.6404,0.00173,0.69434,354.33071,Raymond,Raymond et al.,Raymond et al. 2012
7.54381,0.53272,9.1692,0.00311,0.51367,360.89239,Raymond,Raymond et al.,Raymond et al. 2012
9.43527,0.77724,15.5933,0.00155,0.53545,403.54331,Raymond,Raymond et al.,Raymond et al. 2012
4.75217,0.30912,6.9335,0.0059,0.33776,715.2231,Raymond,Raymond et al.,Raymond et al. 2012
8.75769,0.4511,10.5276,0.0021,0.63843,393.70079,Raymond,Raymond et al.,Raymond et al. 2012
8.1287,0.33651,0.82919,0.00961,0.18288,145.11638,Raymond,Raymond et al.,Raymond et al. 2012
15.47262,0.2619,4.0752,0.00457,0.48768,343.55081,Raymond,Raymond et al.,Raymond et al. 2012
8.41111,0.98755,16.0178,0.0012,0.45124,387.13911,Raymond,Raymond et al.,Raymond et al. 2012
8.43315,0.12051,2.1975,0.00581,0.74825,262.46719,Raymond,Raymond et al.,Raymond et al. 2012
3.28728,0.41888,4.88175,0.00255,0.47549,263.5608,Raymond,Raymond et al.,Raymond et al. 2012
7.96549,0.18318,4.11765,0.00316,0.87173,277.46532,Raymond,Raymond et al.,Raymond et al. 2012
9.70805,0.23606,0.4528,0.00545,0.3715,55.61024,Raymond,Raymond et al.,Raymond et al. 2012
3.45929,0.6919,16.5272,0.00105,0.63238,406.82415,Raymond,Raymond et al.,Raymond et al. 2012
2.17278,0.47365,5.9147,0.0058,0.15828,849.73753,Raymond,Raymond et al.,Raymond et al. 2012
7.30621,0.33143,10.2446,0.00159,0.78056,426.50919,Raymond,Raymond et al.,Raymond et al. 2012
3.5872,0.342,0.64241,0.0035,0.33528,60.34063,Raymond,Raymond et al.,Raymond et al. 2012
3.66353,0.34169,0.64241,0.0035,0.33528,60.39559,Raymond,Raymond et al.,Raymond et al. 2012
2.94657,0.38982,6.86275,0.0063,0.1628,1164.69816,Raymond,Raymond et al.,Raymond et al. 2012
7.40027,0.41665,2.19042,0.00442,0.21573,262.46719,Raymond,Raymond et al.,Raymond et al. 2012
3.40413,0.3326,9.339,0.00129,0.92177,328.08399,Raymond,Raymond et al.,Raymond et al. 2012
4.56072,0.367,35.941,0.00077,1.35078,780.8399,Raymond,Raymond et al.,Raymond et al. 2012
3.03063,0.1777,4.0752,0.00417,0.48886,505.24934,Raymond,Raymond et al.,Raymond et al. 2012
2.9406,0.35038,9.3107,0.0014,0.72695,393.70079,Raymond,Raymond et al.,Raymond et al. 2012
3.61084,0.36189,9.2541,0.00136,0.69955,393.70079,Raymond,Raymond et al.,Raymond et al. 2012
6.18887,0.352,2.25551,0.00364,0.26294,262.46719,Raymond,Raymond et al.,Raymond et al. 2012
5.13695,0.54864,22.6117,0.0009,0.62929,705.38058,Raymond,Raymond et al.,Raymond et al. 2012
6.23442,0.29641,1.3867,0.00373,0.27672,182.08661,Raymond,Raymond et al.,Raymond et al. 2012
7.57486,0.39624,22.5551,0.00076,0.99397,616.7979,Raymond,Raymond et al.,Raymond et al. 2012
4.46297,0.22472,0.1981,0.00568,0.23152,41.0105,Raymond,Raymond et al.,Raymond et al. 2012
8.16925,0.15468,0.02447,0.01326,0.14238,11.9685,Raymond,Raymond et al.,Raymond et al. 2012
6.02836,0.14101,1.1886,0.00322,0.63611,142.71654,Raymond,Raymond et al.,Raymond et al. 2012
6.631,0.51816,22.59755,0.00083,0.67531,695.53806,Raymond,Raymond et al.,Raymond et al. 2012
18.21021,0.11965,0.18678,0.00815,0.28789,58.39895,Raymond,Raymond et al.,Raymond et al. 2012
4.94164,0.28313,0.4528,0.00399,0.24533,70.20997,Raymond,Raymond et al.,Raymond et al. 2012
6.08087,0.12851,1.132,0.00322,0.66477,142.71654,Raymond,Raymond et al.,Raymond et al. 2012
17.1113,0.41566,24.2531,0.00045,1.44018,436.35171,Raymond,Raymond et al.,Raymond et al. 2012
10.63966,0.4254,24.6776,0.00045,1.37997,452.75591,Raymond,Raymond et al.,Raymond et al. 2012
3.52844,0.21721,0.18621,0.00549,0.21649,42.65092,Raymond,Raymond et al.,Raymond et al. 2012
4.96343,0.47808,5.3204,0.00148,0.35966,333.55206,Raymond,Raymond et al.,Raymond et al. 2012
4.12073,0.22603,0.22838,0.00379,0.27641,39.37008,Raymond,Raymond et al.,Raymond et al. 2012
4.97404,0.25411,4.00445,0.00175,0.53035,319.88189,Raymond,Raymond et al.,Raymond et al. 2012
3.76521,0.48581,1.56782,0.00213,0.22686,153.21522,Raymond,Raymond et al.,Raymond et al. 2012
4.18984,0.28383,1.1886,0.00225,0.35707,126.31234,Raymond,Raymond et al.,Raymond et al. 2012
5.90085,0.23774,80.089,0.00044,2.08263,1742.12598,Raymond,Raymond et al.,Raymond et al. 2012
8.45002,0.09749,0.02631,0.0108,0.20615,14.10105,Raymond,Raymond et al.,Raymond et al. 2012
3.59531,0.19519,0.67637,0.0028,0.38958,95.80052,Raymond,Raymond et al.,Raymond et al. 2012
4.23242,0.10874,3.113,0.0029,0.67056,459.81468,Raymond,Raymond et al.,Raymond et al. 2012
3.0917,0.29215,4.57045,0.0021,0.34238,492.12598,Raymond,Raymond et al.,Raymond et al. 2012
6.48872,0.2601,1.0754,0.00225,0.35255,126.31234,Raymond,Raymond et al.,Raymond et al. 2012
5.45954,0.10218,3.0847,0.00118,1.63807,198.49081,Raymond,Raymond et al.,Raymond et al. 2012
2.99817,0.29751,5.8581,0.00174,0.38024,557.74278,Raymond,Raymond et al.,Raymond et al. 2012
5.24893,0.14588,0.0399,0.00795,0.16785,17.55249,Raymond,Raymond et al.,Raymond et al. 2012
4.97592,0.15658,0.02236,0.01307,0.09191,16.73228,Raymond,Raymond et al.,Raymond et al. 2012
3.64931,0.24071,1.42915,0.0015,0.48768,131.12042,Raymond,Raymond et al.,Raymond et al. 2012
