TOA5,CR1000XSeries,CR1000X,3454,CR1000X.Std.01.02,CPU:Vaisala_X3_Cr1000x.CR1X,41057,minute_by5sec
TIMESTAMP,RECORD,Vaisala_1_Avg,Vaisala_2_Avg,Vaisala_3_Avg,,,
TS,RN,mV,mV,mV,,,
,,Avg,Avg,Avg,,,
6/4/2019 11:33,0,678,803,838,,,
6/4/2019 11:34,1,679.2,813,824,,,
6/4/2019 11:35,2,679.7,824,817,,,
6/4/2019 11:36,3,679.5,805,806,,,
6/4/2019 11:37,4,678.5,819,824,,,
6/4/2019 11:38,5,683.2,813,793.1,,,
6/4/2019 11:39,6,684.1,819,827,,,
6/4/2019 11:40,7,683.7,820,817,,,
6/4/2019 11:41,8,678.8,812,831,,,
6/4/2019 11:42,9,681.9,830,811,,,
6/4/2019 11:43,10,679.6,815,834,,,
6/4/2019 11:44,11,682.6,825,813,,,
6/4/2019 11:45,12,681.5,823,835,,,
6/4/2019 11:46,13,683.7,820,788.5,,,
6/4/2019 11:47,14,686.5,831,835,,,
6/4/2019 11:48,15,681.7,814,791.8,,,
6/4/2019 11:49,16,679.8,827,814,,,
6/4/2019 11:50,17,679.9,820,745.3,,,
6/4/2019 11:51,18,683.8,821,837,,,
6/4/2019 11:52,19,680.7,827,807,,,
6/4/2019 11:53,20,679.8,819,833,,,
6/4/2019 11:54,21,677.6,832,814,,,
6/4/2019 11:55,22,682.3,824,827,,,
6/4/2019 11:56,23,682.2,828,812,,,
6/4/2019 11:57,24,676.8,827,823,,,
6/4/2019 11:58,25,677,823,780.4,,,
6/4/2019 11:59,26,679.3,836,804,,,
6/4/2019 12:00,27,676.4,819,820,,,
6/4/2019 12:01,28,680.2,837,825,,,
6/4/2019 12:02,29,679.4,829,820,,,
6/4/2019 12:03,30,674.7,834,782.7,,,
6/4/2019 12:04,31,673,837,817,,,
6/4/2019 12:05,32,676.4,824,815,,,
6/4/2019 12:06,33,677.7,844,827,,,
6/4/2019 12:07,34,676,827,770,,,
6/4/2019 12:08,35,677.2,839,818,,,
6/4/2019 12:09,36,676.8,837,745.3,,,
6/4/2019 12:10,37,674.1,834,800,,,
6/4/2019 12:11,38,676.4,842,786.4,,,
6/4/2019 12:12,39,675.8,825,829,,,
6/4/2019 12:13,40,674.7,838,684.9,,,
6/4/2019 12:14,41,671.7,832,831,,,
6/4/2019 12:15,42,675.5,835,805,,,
6/4/2019 12:16,43,675.6,839,826,,,
6/4/2019 12:17,44,673.3,822,762.1,,,
6/4/2019 12:18,45,673.2,840,814,,,
6/4/2019 12:19,46,668.6,830,786.8,,,
6/4/2019 12:20,47,673.4,835,834,,,
6/4/2019 12:21,48,670.7,836,701.3,,,
6/4/2019 12:22,49,672.7,835,822,,,
6/4/2019 12:23,50,669.8,843,812,,,
6/4/2019 12:24,51,669.1,831,826,,,
6/4/2019 12:25,52,670.9,839,812,,,
6/4/2019 12:26,53,670.5,834,804,,,
6/4/2019 12:27,54,669.9,838,758.5,,,
6/4/2019 12:28,55,672.7,842,800,,,
6/4/2019 12:29,56,666.9,827,744.6,,,
6/4/2019 12:30,57,664.2,840,775.1,,,
6/4/2019 12:31,58,669.2,832,748.3,,,
6/4/2019 12:32,59,670.2,838,792.7,,,
6/4/2019 12:33,60,672.2,840,778.4,,,
6/4/2019 12:34,61,668.6,827,816,,,
6/4/2019 12:35,62,670,845,778,,,
6/4/2019 12:36,63,667.6,831,770.1,,,
6/4/2019 12:37,64,670.3,841,805,,,
6/4/2019 12:38,65,674.4,838,786.3,,,
6/4/2019 12:39,66,667.5,833,834,,,
6/4/2019 12:40,67,666.2,846,725,,,
6/4/2019 12:41,68,669.5,830,804,,,
6/4/2019 12:42,69,667.3,841,742.8,,,
6/4/2019 12:43,70,666.1,837,815,,,
6/4/2019 12:44,71,670.7,838,778.9,,,
6/4/2019 12:45,72,666.8,843,831,,,
6/4/2019 12:46,73,669.5,830,695.3,,,
6/4/2019 12:47,74,666.8,850,834,,,
6/4/2019 12:48,75,665.3,836,725.7,,,
6/4/2019 12:49,76,669.1,839,818,,,
6/4/2019 12:50,77,667.6,838,717.3,,,
6/4/2019 12:51,78,668.8,832,831,,,
6/4/2019 12:52,79,667,845,696.5,,,
6/4/2019 12:53,80,669.6,831,826,,,
6/4/2019 12:54,81,666.5,841,707.5,,,
6/4/2019 12:55,82,674.3,837,795.9,,,
6/4/2019 12:56,83,671,835,718.4,,,
6/4/2019 12:57,84,664.4,845,790.5,,,
6/4/2019 12:58,85,671.7,830,741.8,,,
6/4/2019 12:59,86,673.2,844,830,,,
6/4/2019 13:00,87,674,837,794.4,,,
6/4/2019 13:01,88,676.5,844,762.3,,,
6/4/2019 13:02,89,679.3,842,748.4,,,
6/4/2019 13:03,90,677.7,830,775.4,,,
6/4/2019 13:04,91,681.1,849,750.7,,,
6/4/2019 13:05,92,683.8,831,752.6,,,
6/4/2019 13:06,93,684.4,837,769.1,,,
6/4/2019 13:07,94,699.8,836,733.9,,,
6/4/2019 13:08,95,723.6,835,776.2,,,
6/4/2019 13:09,96,754.5,841,754.8,,,
6/4/2019 13:10,97,797.2,830,785.7,,,
6/4/2019 13:11,98,848,845,774.7,,,
6/4/2019 13:12,99,897,833,802,,,
6/4/2019 13:13,100,966,833,699.8,,,
6/4/2019 13:14,101,NAN,841,805,,,
6/4/2019 13:15,102,NAN,823,742,,,
6/4/2019 13:16,103,NAN,843,816,,,
6/4/2019 13:17,104,NAN,829,724.5,,,
6/4/2019 13:18,105,NAN,838,832,,,
6/4/2019 13:19,106,NAN,838,669.2,,,
6/4/2019 13:20,107,NAN,833,827,,,
6/4/2019 13:21,108,NAN,841,731.5,,,
6/4/2019 13:22,109,NAN,823,813,,,
6/4/2019 13:23,110,NAN,838,722.8,,,
6/4/2019 13:24,111,NAN,832,829,,,
6/4/2019 13:25,112,NAN,831,691.5,,,
6/4/2019 13:26,113,NAN,843,807,,,
6/4/2019 13:27,114,NAN,829,707.6,,,
6/4/2019 13:28,115,NAN,845,790.7,,,
6/4/2019 13:29,116,NAN,829,716.4,,,
6/4/2019 13:30,117,NAN,839,779.3,,,
6/4/2019 13:31,118,NAN,835,717.6,,,
6/4/2019 13:32,119,NAN,832,778,,,
6/4/2019 13:33,120,NAN,848,730.3,,,
6/4/2019 13:34,121,NAN,839,764.8,,,
6/4/2019 13:35,122,NAN,853,744.6,,,
6/4/2019 13:36,123,NAN,853,778.1,,,
6/4/2019 13:37,124,NAN,858,744.7,,,
6/4/2019 13:38,125,NAN,870,751.5,,,
6/4/2019 13:39,126,NAN,860,755.2,,,
6/4/2019 13:40,127,NAN,883,746.2,,,
6/4/2019 13:41,128,NAN,879,767.5,,,
6/4/2019 13:42,129,NAN,884,727.9,,,
6/4/2019 13:43,130,NAN,898,771.9,,,
6/4/2019 13:44,131,NAN,894,727.5,,,
6/4/2019 13:45,132,NAN,921,782.8,,,
6/4/2019 13:46,133,NAN,915,719.7,,,
6/4/2019 13:47,134,NAN,938,796.6,,,
6/4/2019 13:48,135,NAN,952,710.5,,,
6/4/2019 13:49,136,NAN,963,807,,,
6/4/2019 13:50,137,NAN,988,745.4,,,
6/4/2019 13:51,138,NAN,996,837,,,
6/4/2019 13:52,139,NAN,1025,817,,,
6/4/2019 13:53,140,NAN,1043,850,,,
6/4/2019 13:54,141,NAN,NAN,820,,,
6/4/2019 13:55,142,NAN,NAN,860,,,
6/4/2019 13:56,143,NAN,NAN,823,,,
6/4/2019 13:57,144,NAN,NAN,870,,,
6/4/2019 13:58,145,NAN,NAN,835,,,
6/4/2019 13:59,146,NAN,NAN,882,,,
6/4/2019 14:00,147,NAN,NAN,853,,,
6/4/2019 14:01,148,NAN,NAN,898,,,
6/4/2019 14:02,149,NAN,NAN,868,,,
6/4/2019 14:03,150,NAN,NAN,919,,,
6/4/2019 14:04,151,NAN,NAN,890,,,
6/4/2019 14:05,152,NAN,NAN,949,,,
6/4/2019 14:06,153,NAN,NAN,921,,,
6/4/2019 14:07,154,NAN,NAN,972,,,
6/4/2019 14:08,155,NAN,NAN,955,,,
6/4/2019 14:09,156,NAN,NAN,NAN,,,
6/4/2019 14:10,157,NAN,NAN,NAN,,,
6/4/2019 14:11,158,NAN,NAN,NAN,,,
6/4/2019 14:12,159,NAN,NAN,NAN,,,
6/4/2019 14:13,160,NAN,NAN,NAN,,,
6/4/2019 14:14,161,NAN,NAN,NAN,,,
6/4/2019 14:15,162,NAN,NAN,NAN,,,
6/4/2019 14:16,163,NAN,NAN,NAN,,,
6/4/2019 14:17,164,NAN,NAN,NAN,,,
6/4/2019 14:18,165,NAN,NAN,NAN,,,
6/4/2019 14:19,166,NAN,NAN,NAN,,,
6/4/2019 14:20,167,NAN,NAN,NAN,,,
6/4/2019 14:21,168,NAN,NAN,NAN,,,
6/4/2019 14:22,169,NAN,NAN,NAN,,,
6/4/2019 14:23,170,NAN,NAN,NAN,,,
6/4/2019 14:24,171,NAN,NAN,NAN,,,
6/4/2019 14:25,172,NAN,NAN,NAN,,,
6/4/2019 14:26,173,NAN,NAN,NAN,,,
6/4/2019 14:27,174,NAN,NAN,NAN,,,
6/4/2019 14:28,175,NAN,NAN,NAN,,,
6/4/2019 14:29,176,NAN,NAN,984,,,
6/4/2019 14:30,177,NAN,NAN,NAN,,,
6/4/2019 14:31,178,NAN,NAN,976,,,
6/4/2019 14:32,179,NAN,NAN,NAN,,,
6/4/2019 14:33,180,NAN,NAN,979,,,
6/4/2019 14:34,181,NAN,NAN,NAN,,,
6/4/2019 14:35,182,NAN,NAN,989,,,
6/4/2019 14:36,183,NAN,NAN,NAN,,,
6/4/2019 14:37,184,NAN,NAN,NAN,,,
6/4/2019 14:38,185,NAN,NAN,NAN,,,
6/4/2019 14:39,186,997,NAN,NAN,,,
6/4/2019 14:40,187,950,NAN,NAN,,,
6/4/2019 14:41,188,915,NAN,NAN,,,
6/4/2019 14:42,189,875,NAN,NAN,,,
6/4/2019 14:43,190,842,NAN,NAN,,,
6/4/2019 14:44,191,810,NAN,NAN,,,
6/4/2019 14:45,192,787.1,NAN,NAN,,,
6/4/2019 14:46,193,761.2,NAN,NAN,,,
6/4/2019 14:47,194,744.7,NAN,NAN,,,
6/4/2019 14:48,195,721.7,NAN,NAN,,,
6/4/2019 14:49,196,705.1,NAN,NAN,,,
6/4/2019 14:50,197,694.4,NAN,NAN,,,
6/4/2019 14:51,198,679.8,NAN,NAN,,,
6/4/2019 14:52,199,666.9,NAN,NAN,,,
6/4/2019 14:53,200,651.5,NAN,NAN,,,
6/4/2019 14:54,201,645.3,NAN,NAN,,,
6/4/2019 14:55,202,633.4,NAN,NAN,,,
6/4/2019 14:56,203,619.9,NAN,NAN,,,
6/4/2019 14:57,204,613.4,NAN,NAN,,,
6/4/2019 14:58,205,603.8,NAN,NAN,,,
6/4/2019 14:59,206,596,NAN,NAN,,,
6/4/2019 15:00,207,593.9,NAN,NAN,,,
6/4/2019 15:01,208,588.5,NAN,NAN,,,
6/4/2019 15:02,209,581.4,NAN,NAN,,,
6/4/2019 15:03,210,577,NAN,NAN,,,
6/4/2019 15:04,211,576.1,NAN,988,,,
6/4/2019 15:05,212,572.9,NAN,NAN,,,
6/4/2019 15:06,213,567.6,NAN,979,,,
6/4/2019 15:07,214,563.2,NAN,NAN,,,
6/4/2019 15:08,215,559.9,NAN,979,,,
6/4/2019 15:09,216,560.2,NAN,NAN,,,
6/4/2019 15:10,217,557.7,NAN,989,,,
6/4/2019 15:11,218,557.2,1031,NAN,,,
6/4/2019 15:12,219,557.8,1025,NAN,,,
6/4/2019 15:13,220,553.4,993,NAN,,,
6/4/2019 15:14,221,551.8,976,NAN,,,
6/4/2019 15:15,222,550.3,961,NAN,,,
6/4/2019 15:16,223,549.9,938,NAN,,,
6/4/2019 15:17,224,550.3,933,NAN,,,
6/4/2019 15:18,225,546.7,895,NAN,,,
6/4/2019 15:19,226,547.7,893,NAN,,,
6/4/2019 15:20,227,544.3,868,970,,,
6/4/2019 15:21,228,547.3,855,992,,,
6/4/2019 15:22,229,545.6,857,965,,,
6/4/2019 15:23,230,545.8,826,962,,,
6/4/2019 15:24,231,545.4,830,941,,,
6/4/2019 15:25,232,541.9,809,936,,,
6/4/2019 15:26,233,542,801,926,,,
6/4/2019 15:27,234,542.9,796.5,914,,,
6/4/2019 15:28,235,541.6,778.3,914,,,
6/4/2019 15:29,236,540.1,786.6,888,,,
6/4/2019 15:30,237,539.5,764.3,895,,,
6/4/2019 15:31,238,539.7,761.4,870,,,
6/4/2019 15:32,239,537.7,755.5,878,,,
6/4/2019 15:33,240,540.4,743,850,,,
6/4/2019 15:34,241,535.4,749.3,866,,,
6/4/2019 15:35,242,542.5,727.1,834,,,
6/4/2019 15:36,243,536,732.8,851,,,
6/4/2019 15:37,244,532.3,724.5,819,,,
6/4/2019 15:38,245,532.8,721,837,,,
6/4/2019 15:39,246,536.9,722.4,716.1,,,
6/4/2019 15:40,247,535.9,704.9,828,,,
6/4/2019 15:41,248,531.5,715,668.5,,,
6/4/2019 15:42,249,533,704,809,,,
6/4/2019 15:43,250,532.2,702.4,662.5,,,
6/4/2019 15:44,251,531.7,706,782.7,,,
6/4/2019 15:45,252,534.9,686.2,665.2,,,
6/4/2019 15:46,253,535.1,704.6,763.3,,,
6/4/2019 15:47,254,532.9,689.6,653,,,
6/4/2019 15:48,255,529.9,692.7,751,,,
6/4/2019 15:49,256,529.8,687.7,651.6,,,
6/4/2019 15:50,257,527.7,679,735.6,,,
6/4/2019 15:51,258,527,692.7,648.8,,,
6/4/2019 15:52,259,528.5,677.6,716.8,,,
6/4/2019 15:53,260,527.3,681.6,657.9,,,
6/4/2019 15:54,261,527.7,678.8,707.9,,,
6/4/2019 15:55,262,527.9,673.9,665.2,,,
6/4/2019 15:56,263,526.5,676,689.8,,,
6/4/2019 15:57,264,522.7,665.4,658.4,,,
6/4/2019 15:58,265,524,679.9,672.7,,,
6/4/2019 15:59,266,521.6,666.2,662.3,,,
6/4/2019 16:00,267,524.8,673,667,,,
6/4/2019 16:01,268,521.7,679,678.7,,,
6/4/2019 16:02,269,521.1,663.6,652.1,,,
6/4/2019 16:03,270,522.2,675.4,677.8,,,
6/4/2019 16:04,271,521,663.9,634.3,,,
6/4/2019 16:05,272,522.3,672.2,676.8,,,
6/4/2019 16:06,273,521.1,669,628.9,,,
6/4/2019 16:07,274,520.4,660.9,691.2,,,
6/4/2019 16:08,275,517.8,674.5,609.5,,,
6/4/2019 16:09,276,517.3,655.9,686.4,,,
6/4/2019 16:10,277,516.5,665.8,599.4,,,
6/5/2019 13:34,278,-846,-917,216.8,,,
6/5/2019 13:35,279,-990,NAN,348.6,,,
6/5/2019 13:36,280,NAN,NAN,396.7,,,
6/5/2019 13:37,281,NAN,NAN,408.9,,,
6/5/2019 13:41,282,NAN,NAN,374.3,,,
6/5/2019 13:42,283,NAN,NAN,384.8,,,
6/5/2019 13:43,284,NAN,NAN,389.7,,,
6/5/2019 13:44,285,NAN,NAN,390.7,,,
6/5/2019 13:45,286,NAN,NAN,390.7,,,
6/5/2019 13:46,287,NAN,NAN,389.8,,,
6/5/2019 13:47,288,NAN,NAN,385.6,,,
6/5/2019 13:48,289,NAN,NAN,382.1,,,
6/5/2019 13:49,290,NAN,NAN,381.8,,,
6/5/2019 13:50,291,NAN,NAN,381.2,,,
6/5/2019 13:51,292,NAN,NAN,381.4,,,
