DateTime,V1,V2
7/12/19 12:44,2710,2735
7/12/19 12:45,2665,2690
7/12/19 12:46,2665,2670
7/12/19 12:47,2660,2660
7/12/19 12:48,2640,2630
7/12/19 12:49,2655,2630
7/12/19 12:50,2630,2615
7/12/19 12:51,2635,2610
7/12/19 12:52,2615,2580
7/12/19 12:53,2615,2575
7/12/19 12:54,2600,2605
7/12/19 12:55,2610,2580
7/12/19 12:56,2610,2585
7/12/19 12:57,2610,2570
7/12/19 12:58,2600,2555
7/12/19 12:59,2610,2555
7/12/19 13:00,2595,2560
7/12/19 13:01,2630,2565
7/12/19 13:02,2860,2550
7/12/19 13:03,3325,2565
7/12/19 13:04,3725,2605
7/12/19 13:05,4035,2800
7/12/19 13:06,4260,3105
7/12/19 13:07,4420,3455
7/12/19 13:08,4520,3720
7/12/19 13:09,4630,4000
7/12/19 13:10,4660,4145
7/12/19 13:11,4675,4300
7/12/19 13:12,4695,4360
7/12/19 13:13,4645,4445
7/12/19 13:14,4595,4450
7/12/19 13:15,4615,4450
7/12/19 13:16,4595,4435
7/12/19 13:17,4565,4420
7/12/19 13:18,4575,4430
7/12/19 13:19,4545,4420
7/12/19 13:20,4550,4410
7/12/19 13:21,4495,4380
7/12/19 13:22,4515,4340
7/12/19 13:23,4510,4345
7/12/19 13:24,4510,4350
7/12/19 13:25,4480,4355
7/12/19 13:26,4490,4310
7/12/19 13:27,4470,4315
7/12/19 13:28,4445,4275
7/12/19 13:29,4460,4295
7/12/19 13:30,4425,4295
7/12/19 13:31,4425,4280
7/12/19 13:32,4405,4290
7/12/19 13:33,4400,4300
7/12/19 13:34,4370,4265
7/12/19 13:35,4340,4245
7/12/19 13:36,4345,4235
7/12/19 13:37,4320,4205
7/12/19 13:38,4335,4195
7/12/19 13:39,4290,4170
7/12/19 13:40,4320,4180
7/12/19 13:41,4285,4165
7/12/19 13:42,4280,4140
7/12/19 13:43,4245,4120
7/12/19 13:44,4240,4105
7/12/19 13:45,4230,4125
7/12/19 13:46,4180,4095
7/12/19 13:47,4205,4110
7/12/19 13:48,4175,4040
7/12/19 13:49,4165,4040
7/12/19 13:50,4150,4045
7/12/19 13:51,4135,4040
7/12/19 13:52,4145,4005
7/12/19 13:53,4110,4035
7/12/19 13:54,4120,4020
7/12/19 13:55,4125,4030
7/12/19 13:56,4080,4015
7/12/19 13:57,4085,3980
7/12/19 13:58,4065,3950
7/12/19 13:59,4050,3975
7/12/19 14:00,4060,3925
7/12/19 14:01,4045,3925
7/12/19 14:02,4040,3940
7/12/19 14:03,4040,3940
7/12/19 14:04,4020,3905
7/12/19 14:05,4015,3900
7/12/19 14:06,3985,3870
7/12/19 14:07,4015,3860
7/12/19 14:08,3975,3850
7/12/19 14:09,3980,3830
7/12/19 14:10,3985,3840
7/12/19 14:11,3955,3845
7/12/19 14:12,3945,3840
7/12/19 14:13,3940,3835
7/12/19 14:14,3920,3780
7/12/19 14:15,3935,3775
7/12/19 14:16,3910,3795
7/12/19 14:17,3915,3775
7/12/19 14:18,3890,3770
7/12/19 14:19,3925,3775
7/12/19 14:20,3965,3770
7/12/19 14:21,4020,3770
7/12/19 14:22,4020,3785
7/12/19 14:23,4020,3790
7/12/19 14:24,4015,3820
7/12/19 14:25,4005,3850
7/12/19 14:26,4030,3870
7/12/19 14:27,4010,3875
7/12/19 14:28,3990,3875
7/12/19 14:29,3990,3880
7/12/19 14:30,3980,3870
7/12/19 14:31,3975,3845
7/12/19 14:32,3945,3870
7/12/19 14:33,3925,3845
7/12/19 14:34,3925,3835
7/12/19 14:35,3890,3790
7/12/19 14:36,3870,3765
7/12/19 14:37,3870,3770
7/12/19 14:38,3850,3755
7/12/19 14:39,3835,3735
7/12/19 14:40,3815,3720
7/12/19 14:41,3810,3740
7/12/19 14:42,3810,3690
7/12/19 14:43,3815,3690
7/12/19 14:44,3790,3690
7/12/19 14:45,3800,3655
7/12/19 14:46,3790,3660
7/12/19 14:47,3775,3655
7/12/19 14:48,3755,3640
7/12/19 14:49,3745,3635
7/12/19 14:50,3755,3635
7/12/19 14:51,3740,3620
7/12/19 14:52,3695,3615
7/12/19 14:53,3700,3620
7/12/19 14:54,3705,3615
7/12/19 14:55,3720,3590
7/12/19 14:56,3700,3555
7/12/19 14:57,3685,3560
7/12/19 14:58,3685,3590
7/12/19 14:59,3685,3580
7/12/19 15:00,3670,3560
7/12/19 15:01,3670,3555
7/12/19 15:02,3660,3555
7/12/19 15:03,3645,3530
7/12/19 15:04,3660,3530
7/12/19 15:05,3595,3540
7/12/19 15:06,3560,3535
7/12/19 15:07,3630,3520
7/12/19 15:08,3565,3515
7/12/19 15:09,3595,3480
7/12/19 15:10,3590,3495
7/12/19 15:11,3625,3485
7/12/19 15:12,3725,3500
7/12/19 15:13,3795,3480
7/12/19 15:14,3905,3510
7/12/19 15:15,3970,3555
7/12/19 15:16,4015,3660
7/12/19 15:17,4005,3745
7/12/19 15:18,4010,3810
7/12/19 15:19,3965,3825
7/12/19 15:20,3965,3855
7/12/19 15:21,3935,3850
7/12/19 15:22,3905,3855
7/12/19 15:23,3925,3825
7/12/19 15:24,3890,3790
7/12/19 15:25,3880,3785
7/12/19 15:26,3840,3760
7/12/19 15:27,3850,3775
7/12/19 15:28,3845,3745
7/12/19 15:29,3845,3720
7/12/19 15:30,3855,3725
7/12/19 15:31,3885,3700
7/12/19 15:32,3970,3705
7/12/19 15:33,4025,3730
7/12/19 15:34,4070,3765
7/12/19 15:35,4065,3810
7/12/19 15:36,4085,3850
7/12/19 15:37,4080,3905
7/12/19 15:38,4070,3915
7/12/19 15:39,4050,3925
7/12/19 15:40,4030,3920
7/12/19 15:41,4010,3940
7/12/19 15:42,3990,3895
7/12/19 15:43,3995,3885
7/12/19 15:44,3950,3895
7/12/19 15:45,3945,3860
7/12/19 15:46,3920,3845
7/12/19 15:47,3890,3835
7/12/19 15:48,3885,3805
7/12/19 15:49,3860,3800
7/12/19 15:50,3830,3790
7/12/19 15:51,3845,3760
7/12/19 15:52,3795,3730
7/12/19 15:53,3785,3740
7/12/19 15:54,3840,3705
7/12/19 15:55,3930,3690
7/12/19 15:56,4005,3680
7/12/19 15:57,4060,3690
7/12/19 15:58,4115,3765
7/12/19 15:59,4155,3830
7/12/19 16:00,4150,3890
7/12/19 16:01,4195,3950
7/12/19 16:02,4085,3985
7/12/19 16:03,3920,4005
7/12/19 16:04,3630,4015
7/12/19 16:05,3375,3980
7/12/19 16:06,3215,3830
7/12/19 16:07,3060,3655
7/12/19 16:08,2925,3445
7/12/19 16:09,2850,3230
7/12/19 16:10,2780,3045
7/12/19 16:11,2750,2950
7/12/19 16:12,2680,2825
7/12/19 16:13,2640,2735
7/12/19 16:14,2625,2710
7/12/19 16:15,2620,2660